lang,attr,n_total,n_covered,coverage,accuracy,macro_f1
de,milk_source,50,15,0.3,0.7333333333333333,0.5
de,texture,50,24,0.48,0.7083333333333334,0.578796992481203
de,country_of_origin,50,11,0.22,0.9090909090909091,0.6666666666666666
de,fat_class,50,19,0.38,0.5789473684210527,0.4508771929824561
de,is_pdo,50,47,0.94,0.8936170212765957,0.7768281101614435
de,is_organic,50,42,0.84,0.9523809523809523,0.9464285714285714
de,is_ultra_processed,50,43,0.86,0.9767441860465116,0.9379509379509379
en,milk_source,55,26,0.4727272727272727,0.8846153846153846,0.6255813953488372
en,texture,55,14,0.2545454545454545,0.8571428571428571,0.861111111111111
en,country_of_origin,55,17,0.3090909090909091,1.0,1.0
en,fat_class,55,22,0.4,0.7272727272727273,0.6042568542568543
en,is_pdo,55,51,0.9272727272727272,0.9803921568627451,0.8282828282828283
en,is_organic,55,50,0.9090909090909091,0.98,0.8281786941580755
en,is_ultra_processed,55,43,0.7818181818181819,0.9069767441860465,0.8464285714285714
es,milk_source,47,18,0.3829787234042553,0.8888888888888888,0.6111111111111112
es,texture,47,7,0.14893617021276595,0.8571428571428571,0.6363636363636364
es,country_of_origin,47,9,0.19148936170212766,0.8888888888888888,0.7307692307692308
es,fat_class,47,11,0.23404255319148937,0.8181818181818182,0.5583333333333333
es,is_pdo,47,46,0.9787234042553191,0.9347826086956522,0.6827586206896552
es,is_organic,47,44,0.9361702127659575,1.0,1.0
es,is_ultra_processed,47,36,0.7659574468085106,0.8611111111111112,0.7317436661698957
fr,milk_source,51,32,0.6274509803921569,0.84375,0.712013754566946
fr,texture,51,23,0.45098039215686275,0.6956521739130435,0.3138755980861244
fr,country_of_origin,51,23,0.45098039215686275,1.0,1.0
fr,fat_class,51,18,0.35294117647058826,0.6111111111111112,0.4845238095238095
fr,is_pdo,51,47,0.9215686274509803,0.9574468085106383,0.9246794871794872
fr,is_organic,51,49,0.9607843137254902,0.9795918367346939,0.4948453608247423
fr,is_ultra_processed,51,44,0.8627450980392157,0.9772727272727273,0.8939759036144579
it,milk_source,47,13,0.2765957446808511,0.9230769230769231,0.6507936507936508
it,texture,47,22,0.46808510638297873,0.8636363636363636,0.39743589743589747
it,country_of_origin,47,37,0.7872340425531915,0.972972972972973,0.4931506849315068
it,fat_class,47,24,0.5106382978723404,0.875,0.8127394636015325
it,is_pdo,47,44,0.9361702127659575,0.9772727272727273,0.968727789623312
it,is_organic,47,42,0.8936170212765957,0.9761904761904762,0.8936708860759495
it,is_ultra_processed,47,39,0.8297872340425532,0.9743589743589743,0.9371980676328502
